bootstrap_iter,pooled_f1_supervised,pooled_f1_hybrid_soft_cv,pooled_f1_diff,pooled_kappa_supervised,pooled_kappa_hybrid_soft_cv,pooled_kappa_diff
16,0.3252676644640511,0.2982241077662097,0.027043556697841364,0.3011708559186039,0.2576247427864694,0.04354611313213447
17,0.30838142548498715,0.26688181614306894,0.04149960934191821,0.2812356112614298,0.22113221691928156,0.06010339434214826
18,0.29529422180571113,0.3021788365959157,-0.0068846147902045796,0.2715821550524601,0.26276379084972046,0.008818364202739626
19,0.32593260515578026,0.25500854456850613,0.07092406058727413,0.301717404432715,0.21002542626312645,0.09169197816958854
20,0.3526299853915512,0.28219652656881117,0.07043345882274005,0.32888547349077435,0.24128599359831188,0.08759947989246247
21,0.363409539386117,0.28753921606165533,0.07587032332446164,0.3391922833217786,0.24425092246962227,0.09494136085215632
22,0.3115226910924139,0.28291760231579455,0.028605088776619325,0.28685972828486805,0.24018877348507287,0.04667095479979519
23,0.3479496083586585,0.2996950362311682,0.04825457212749029,0.32265280372621097,0.2549691536923394,0.06768365003387156
24,0.33574342849776095,0.29705929503090484,0.03868413346685612,0.31077747777551895,0.25615811419095985,0.0546193635845591
25,0.3643638375092699,0.3073891996362448,0.05697463787302515,0.3401261296579709,0.25942395755288256,0.08070217210508834
26,0.31927382487602124,0.23649030822884026,0.08278351664718098,0.2946582963394598,0.1940188226718419,0.10063947366761788
27,0.310489376749988,0.24885692359540962,0.06163245315457838,0.28676780559151055,0.2082329176515021,0.07853488794000846
28,0.3201192149148898,0.26125338839864193,0.05886582651624789,0.2948285626023467,0.21421973003996891,0.08060883256237777
29,0.3005205122701507,0.2272795197250453,0.07324099254510541,0.2774142272587241,0.18586277876233587,0.09155144849638824
30,0.30542203387307343,0.25969926637702945,0.04572276749604398,0.2785757963904238,0.21787327938792844,0.06070251700249535
31,0.3092973859979882,0.2816197129098035,0.027677673088184696,0.28642096875531,0.23711554717569588,0.049305421579614095
32,0.3151726154086304,0.2619890011668423,0.05318361424178808,0.29421442735263936,0.22277531464574216,0.0714391127068972
33,0.33934297864444923,0.27221251098960986,0.06713046765483938,0.3170052247169396,0.23371037864209926,0.08329484607484033
34,0.32367660733394277,0.25394742804136006,0.06972917929258271,0.2979652724781946,0.20950556629529343,0.08845970618290117
35,0.34852695475496265,0.26456905640662665,0.083957898348336,0.3220036538719521,0.22399555953328842,0.0980080943386637
36,0.307937050378832,0.2776280060036257,0.030309044375206318,0.28328082577182223,0.23647022483687735,0.04681060093494488
37,0.339743706991514,0.28597974698466766,0.053763960006846356,0.31511914165282995,0.24222607085547312,0.07289307079735682
38,0.3148744977497544,0.28062914938141836,0.03424534836833604,0.2919974665556175,0.23798721993119568,0.054010246624421804
39,0.28329216346044467,0.25471180102229773,0.028580362438146933,0.2573941330396029,0.2098560076681924,0.0475381253714105
40,0.32150578317111517,0.26395945203045135,0.05754633114066382,0.2988060781965039,0.2223509176274321,0.07645516056907181
41,0.29819642228350096,0.2396232843034409,0.05857313798006006,0.2699426859467696,0.19619659691425084,0.07374608903251878
42,0.22097620849185662,0.22512729999717038,-0.004151091505313759,0.1957132516594103,0.18613112561337986,0.009582126046030454
43,0.3255354205400034,0.24430513878077537,0.08123028175922803,0.30202751194578004,0.19999488928562678,0.10203262266015325
44,0.30078802303024943,0.2536197298125894,0.04716829321766003,0.2719593984255779,0.21133640931866576,0.06062298910691216
45,0.24773753867226872,0.22453552577903457,0.023202012893234147,0.22494739867170468,0.18613401925385736,0.03881337941784732
46,0.27950287640355387,0.24854787015809554,0.030955006245458327,0.25277631271236634,0.20189121025918177,0.05088510245318456
47,0.3041085781420929,0.2453378251549962,0.05877075298709672,0.28024028922363786,0.20715858752025795,0.07308170170337991
48,0.3032034394605717,0.26706310309765774,0.03614033636291397,0.28037656509870257,0.22412046540379418,0.056256099694908385
49,0.2894855959022852,0.24907535743030274,0.04041023847198244,0.2633818666140348,0.20611288523293725,0.05726898138109754
50,0.344676934589663,0.2682684319874316,0.07640850260223137,0.3209022906121447,0.2271571665864482,0.09374512402569651
51,0.30994014137527554,0.28351726687469514,0.026422874500580396,0.28131487818392187,0.23599926884946482,0.04531560933445705
52,0.33517615561143804,0.27789234225159054,0.0572838133598475,0.3096703806790768,0.23840981163893787,0.07126056904013894
53,0.3234740186313558,0.25579524963771405,0.06767876899364172,0.29813007092467314,0.21287564938076026,0.08525442154391288
54,0.3041891832834437,0.26355461457854157,0.04063456870490212,0.2773530376192165,0.2209876402505489,0.05636539736866758
